MAE Nivel 1 método final,MRE Nivel 1 Método final,MAE Nivel 1 método experimental,MRE Nivel 1 Método experimental,MAE Nivel 1 método integral,MRE Nivel 1 Método integral,MAE Nivel 1 método picos,MRE Nivel 1 Método picos,MAE Nivel 2 método final,MRE Nivel 2 Método final,MAE Nivel 2 método experimental,MRE Nivel 2 Método experimental,MAE Nivel 2 método integral,MRE Nivel 2 Método integral,MAE Nivel 2 método picos,MRE Nivel 2 Método picos,MAE Nivel 3 método final,MRE Nivel 3 Método final,MAE Nivel 3 método experimental,MRE Nivel 3 Método experimental,MAE Nivel 3 método integral,MRE Nivel 3 Método integral,MAE Nivel 3 método picos,MRE Nivel 3 Método picos,MAE Nivel 4 método final,MRE Nivel 4 Método final,MAE Nivel 4 método experimental,MRE Nivel 4 Método experimental,MAE Nivel 4 método integral,MRE Nivel 4 Método integral,MAE Nivel 4 método picos,MRE Nivel 4 Método picos,MAE total método final,MRE total Método final,MAE total método experimental,MRE total Método experimental,MAE total método integral,MRE total Método integral,MAE total método picos,MRE total Método picos
0.33,11.73,0.26,9.26,0.26,9.26,1.33,82.72,1.26,24.44,1.26,20.1,1.0,17.03,2.26,40.89,3.91,22.53,3.7,20.99,1.96,10.99,3.7,20.99,3.04,10.7,3.04,10.7,3.09,9.81,3.04,10.7,1.98,17.87,1.92,15.54,1.47,12.22,2.5,40.68
0.21,9.72,0.17,8.33,0.17,8.33,0.88,68.75,1.28,24.42,1.47,24.33,1.25,21.73,1.91,34.12,2.28,12.51,2.21,12.78,2.21,14.18,2.14,12.09,3.86,13.29,3.86,13.29,3.14,10.25,3.86,13.29,1.84,15.61,1.87,15.34,1.65,14.32,2.14,31.63
0.23,12.78,0.2,11.67,0.2,11.67,0.8,63.89,1.16,22.99,0.78,14.46,0.69,13.34,1.47,28.5,4.12,22.55,4.42,25.3,2.33,14.14,4.38,24.88,3.52,12.58,3.52,12.58,3.05,10.09,3.52,12.58,2.03,17.99,1.97,15.74,1.38,12.41,2.34,34.49
0.26,13.58,0.22,12.35,0.22,12.35,0.89,61.11,0.8,15.71,0.9,15.11,0.83,14.37,1.1,21.0,3.23,18.44,3.35,19.65,1.85,11.96,3.15,17.72,3.5,11.87,3.5,11.87,2.96,9.35,3.5,11.87,1.86,14.97,1.91,14.79,1.4,12.15,2.08,28.28
0.33,18.52,0.3,16.67,0.3,16.67,0.96,66.05,1.56,25.8,1.52,22.45,1.11,17.93,2.52,41.44,4.77,25.53,4.96,27.26,1.65,10.52,5.0,27.64,2.81,9.81,2.81,9.81,3.56,11.42,2.81,9.81,2.35,19.86,2.37,18.97,1.65,14.17,2.8,36.32
0.27,11.54,0.19,8.97,0.19,8.97,0.85,50.64,1.26,25.72,0.84,15.59,0.84,15.59,1.65,32.03,4.12,21.75,4.69,26.99,1.85,12.44,4.58,25.97,3.17,10.96,3.17,10.96,2.58,8.47,3.17,10.96,2.14,18.0,2.14,15.72,1.32,11.62,2.5,30.35
0.17,8.8,0.17,8.8,0.17,8.8,0.64,42.59,1.26,23.26,1.13,17.78,0.96,15.85,1.57,27.14,2.87,15.94,2.74,15.17,1.39,8.38,2.74,15.17,3.28,11.6,3.28,11.6,2.76,9.43,3.28,11.6,1.71,14.1,1.65,12.75,1.21,10.37,1.91,26.13
0.2,11.11,0.13,8.89,0.13,8.89,0.6,46.67,1.29,24.91,1.17,20.15,1.09,19.2,2.11,40.07,3.16,16.3,3.29,17.8,1.74,10.37,3.21,17.01,4.21,14.19,4.21,14.19,3.37,10.76,4.21,14.19,2.32,18.02,2.32,16.68,1.59,13.12,2.66,28.21
0.14,8.33,0.14,8.33,0.14,8.33,0.77,53.03,0.83,17.11,0.97,16.27,0.97,16.27,1.42,26.53,3.39,18.58,3.42,19.07,1.65,9.6,3.32,18.11,2.94,10.33,2.94,10.33,2.89,9.26,2.94,10.33,1.79,14.59,1.84,14.45,1.32,11.53,2.09,26.81
0.23,12.22,0.2,11.11,0.2,11.11,0.8,60.56,1.19,23.68,1.03,18.35,1.0,17.99,1.94,36.28,3.33,18.76,3.52,20.38,1.78,10.57,3.44,19.64,5.16,18.41,5.16,18.41,2.95,9.27,5.16,18.41,2.17,18.29,2.16,16.84,1.32,12.64,2.57,35.71
0.15,8.33,0.15,8.33,0.15,8.33,1.12,94.87,1.47,27.29,0.9,16.17,0.87,15.79,2.07,38.94,4.06,21.42,4.13,21.95,1.71,8.51,4.13,21.95,3.25,11.66,3.25,11.66,1.95,6.86,3.25,11.66,2.23,18.06,2.09,15.09,1.14,10.2,2.65,42.51
0.43,20.0,0.4,18.89,0.4,18.89,1.27,75.56,1.11,23.77,1.05,18.75,1.0,18.17,1.92,36.9,3.68,20.93,3.73,21.81,1.95,11.77,3.73,21.81,1.88,6.76,1.88,6.76,2.18,7.24,1.88,6.76,1.57,19.42,1.55,17.51,1.21,15.32,2.1,39.85
0.19,9.88,0.19,9.88,0.19,9.88,0.48,37.65,1.43,28.09,1.2,19.0,1.1,17.75,2.3,43.54,3.46,19.58,3.36,18.76,1.82,10.57,3.36,18.76,2.91,10.1,2.91,10.1,2.73,8.83,2.91,10.1,1.95,17.57,1.86,14.8,1.39,12.05,2.24,28.69
